,asset,ret,bin
2022-12-02,PETR4_SA,-0.006175191353001819,-1.0
2022-12-05,PETR4_SA,0.017564616370576935,1.0
2022-12-07,PETR4_SA,-0.032741489132142365,-1.0
2022-12-08,PETR4_SA,0.00040349222025759524,1.0
2022-12-12,PETR4_SA,0.07151805033595271,1.0
2022-12-13,PETR4_SA,0.1170666952800572,1.0
2022-12-14,PETR4_SA,0.20773159088565674,1.0
2022-12-15,PETR4_SA,0.21234095299846922,1.0
2022-12-19,PETR4_SA,0.19302945377226388,1.0
2022-12-20,PETR4_SA,0.15908097521161757,1.0
2022-12-21,PETR4_SA,0.1391599524659135,1.0
2022-12-22,PETR4_SA,0.10212594429975952,1.0
2022-12-23,PETR4_SA,0.025477721986870705,1.0
2022-12-26,PETR4_SA,0.0645551104631128,1.0
2022-12-27,PETR4_SA,0.03146174578070671,1.0
2022-12-28,PETR4_SA,0.05443551904585231,1.0
2022-12-29,PETR4_SA,0.03020406385792951,1.0
2023-01-02,PETR4_SA,0.10383942618764874,1.0
2023-01-03,PETR4_SA,0.10295421309228758,1.0
2023-01-04,PETR4_SA,0.11496777814063996,1.0
2023-01-05,PETR4_SA,0.08710226385056807,1.0
2023-01-06,PETR4_SA,0.05728724518543937,1.0
2023-01-09,PETR4_SA,0.06493525969102709,1.0
2023-01-10,PETR4_SA,0.05064351392809874,1.0
2023-01-11,PETR4_SA,0.02883003181333743,1.0
2023-01-12,PETR4_SA,-0.017864250855111563,-1.0
2023-01-16,PETR4_SA,-0.02911814323452888,-1.0
2023-01-17,PETR4_SA,-0.0885580406359453,-1.0
2023-01-18,PETR4_SA,-0.062225825246513766,-1.0
2023-01-19,PETR4_SA,-0.11432972215309134,-1.0
2023-01-20,PETR4_SA,-0.11262813073374234,-1.0
2023-01-23,PETR4_SA,-0.12915259690138692,-1.0
2023-01-24,PETR4_SA,-0.14285726417653766,-1.0
2023-01-25,PETR4_SA,-0.15404594936783156,-1.0
2023-01-26,PETR4_SA,-0.11695242412533613,-1.0
2023-01-27,PETR4_SA,-0.07923492171645474,-1.0
2023-01-30,PETR4_SA,-0.07184475362102882,-1.0
2023-01-31,PETR4_SA,-0.08055249947443399,-1.0
2023-02-01,PETR4_SA,-0.08790326592273845,-1.0
2023-02-02,PETR4_SA,-0.001223807965403112,-1.0
2023-02-03,PETR4_SA,-0.020976287254704462,-1.0
2023-02-06,PETR4_SA,-0.055469065375589044,-1.0
2023-02-07,PETR4_SA,-0.06323176434353928,-1.0
2023-02-08,PETR4_SA,-0.059116855249747524,-1.0
2023-02-09,PETR4_SA,-0.010412467136442172,-1.0
2023-02-10,PETR4_SA,-0.032559804668485515,-1.0
2023-02-14,PETR4_SA,-0.014981426483066551,-1.0
2023-02-16,PETR4_SA,0.02011189801232205,1.0
2023-02-17,PETR4_SA,0.0026473136282925136,1.0
2023-02-22,PETR4_SA,0.036102743376508206,1.0
2023-02-23,PETR4_SA,0.024481864318501412,1.0
2023-02-24,PETR4_SA,0.045945999075078126,1.0
2023-02-27,PETR4_SA,0.022944719780018774,1.0
2023-02-28,PETR4_SA,0.034073014665045864,1.0
2023-03-02,PETR4_SA,0.03960231394670588,1.0
2023-03-03,PETR4_SA,-0.006782648617016496,-1.0
2023-03-06,PETR4_SA,-0.0011088005428806502,-1.0
2023-03-07,PETR4_SA,0.07709773831865241,1.0
2023-03-08,PETR4_SA,0.0861387339282873,1.0
2023-03-09,PETR4_SA,0.09441944550364423,1.0
2023-03-10,PETR4_SA,0.10617233058453035,1.0
2023-03-13,PETR4_SA,0.18420816146124364,1.0
2023-03-14,PETR4_SA,0.205639607813769,1.0
2023-03-15,PETR4_SA,0.227334981164103,1.0
2023-03-17,PETR4_SA,0.21846037179139421,1.0
2023-03-20,PETR4_SA,0.1945050463960154,1.0
2023-03-21,PETR4_SA,0.18375071270367282,1.0
2023-03-23,PETR4_SA,0.20131591713125752,1.0
2023-03-27,PETR4_SA,0.1816223006746316,1.0
2023-03-28,PETR4_SA,0.21432804315897158,1.0
2023-03-29,PETR4_SA,0.1985775264032772,1.0
2023-03-31,PETR4_SA,0.18122621637799652,1.0
2023-04-03,PETR4_SA,0.20741925149739893,1.0
2023-04-04,PETR4_SA,0.218364088090792,1.0
2023-04-05,PETR4_SA,0.21436079229900296,1.0
2023-04-06,PETR4_SA,0.19358322919396853,1.0
2023-04-10,PETR4_SA,0.20643380696523117,1.0
2023-04-11,PETR4_SA,0.19319173130548628,1.0
2023-04-12,PETR4_SA,0.22233383177833943,1.0
2023-04-13,PETR4_SA,0.21388112327396525,1.0
2023-04-14,PETR4_SA,0.20141960181642427,1.0
2023-04-17,PETR4_SA,0.2175604747039901,1.0
2023-04-18,PETR4_SA,0.24532109822843617,1.0
2023-04-19,PETR4_SA,0.1919024037821504,1.0
2023-04-20,PETR4_SA,0.21847255472170524,1.0
2023-04-24,PETR4_SA,0.1956264186027017,1.0
2023-04-25,PETR4_SA,0.2004809790563975,1.0
2023-04-26,PETR4_SA,0.2157395362227934,1.0
2023-04-27,PETR4_SA,0.18559304752013905,1.0
2023-04-28,PETR4_SA,0.1835442498321218,1.0
2023-05-02,PETR4_SA,0.1952507911854484,1.0
2023-05-03,PETR4_SA,0.19947023852881252,1.0
2023-05-04,PETR4_SA,0.19331016641289733,1.0
2023-05-05,PETR4_SA,0.20291661647909898,1.0
2023-05-08,PETR4_SA,0.23541412362014658,1.0
2023-05-09,PETR4_SA,0.23139511490440245,1.0
2023-05-11,PETR4_SA,0.1907195238817958,1.0
2023-05-12,PETR4_SA,0.22175544414990056,1.0
2023-05-15,PETR4_SA,0.20070134103880255,1.0
2023-05-16,PETR4_SA,0.2194327955478763,1.0
2023-05-17,PETR4_SA,0.20070134103880255,1.0
2023-05-18,PETR4_SA,0.19372346571355092,1.0
2023-05-22,PETR4_SA,0.2025761530928316,1.0
2023-05-23,PETR4_SA,0.22175544414990056,1.0
2023-05-24,PETR4_SA,0.20341785967648418,1.0
2023-05-25,PETR4_SA,0.2125169698900291,1.0
2023-05-26,PETR4_SA,0.19668212973900268,1.0
2023-05-29,PETR4_SA,0.20161392864507754,1.0
2023-05-30,PETR4_SA,0.2152740359486045,1.0
2023-05-31,PETR4_SA,0.17955609216627733,1.0
2023-06-01,PETR4_SA,0.18958043049576956,1.0
2023-06-02,PETR4_SA,0.17995145681210212,1.0
2023-06-05,PETR4_SA,0.17990674857098887,1.0
2023-06-06,PETR4_SA,0.20982819726743007,1.0
2023-06-07,PETR4_SA,0.14114218603562634,1.0
2023-06-09,PETR4_SA,0.05563168289997811,1.0
2023-06-12,PETR4_SA,0.04404332896342722,1.0
2023-06-14,PETR4_SA,0.01196009057607994,1.0
2023-06-15,PETR4_SA,0.04219128308424547,1.0
2023-06-16,PETR4_SA,0.031039109935000475,1.0
2023-06-19,PETR4_SA,0.007231846471942971,1.0
2023-06-20,PETR4_SA,0.00948638022982018,1.0
2023-06-21,PETR4_SA,-0.009733068814960277,-1.0
2023-06-22,PETR4_SA,-0.00031800477872589994,-1.0
2023-06-23,PETR4_SA,0.04509281043844027,1.0
2023-06-26,PETR4_SA,0.014915776772887357,1.0
2023-06-27,PETR4_SA,0.038457811652210294,1.0
2023-06-28,PETR4_SA,0.08348800045593974,1.0
2023-06-29,PETR4_SA,0.07692660852661448,1.0
2023-06-30,PETR4_SA,0.12389607532015368,1.0
2023-07-03,PETR4_SA,0.11577055873839992,1.0
2023-07-04,PETR4_SA,0.11559022241233552,1.0
2023-07-06,PETR4_SA,0.11829719031440855,1.0
2023-07-07,PETR4_SA,0.14826482104925698,1.0
2023-07-11,PETR4_SA,0.18840553797196447,1.0
2023-07-13,PETR4_SA,0.16915375384995146,1.0
2023-07-14,PETR4_SA,0.16569468677907007,1.0
2023-07-17,PETR4_SA,0.168107369904972,1.0
2023-07-18,PETR4_SA,0.16090707352433786,1.0
2023-07-19,PETR4_SA,0.1636917564114928,1.0
2023-07-21,PETR4_SA,0.16718413679981903,1.0
2023-07-24,PETR4_SA,0.16043179148935782,1.0
2023-07-25,PETR4_SA,0.14829310238378057,1.0
